idProposicao,siglaTipo,nomeProposicao,ementa,dataApresentacao,casaOrigem,nomeAutor,regimeTramitacao,descricaoSituacao,urlInteiroTeor
2236288,REQ,REQ 8/2020,"Requer a realização de Sessão Solene pelos 50 anos da TV Verdes Mares; em prol do desenvolvimento econômico, social, educacional e cultural de nosso Estado. NA",2020-02-03T15:34:00Z,CD,José Guimarães,,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853689
2236289,REQ,REQ 9/2020,Requer a criação de Comissão Externa temporária do coronavírus para acompanhar ações preventivas da vigilância sanitária e possíveis consequências para o Brasil quanto ao enfrentamento da pandemia causada pelo coronavírus NA,2020-02-03T15:39:00Z,CD,Carmen Zanotto,,Tramitação do Requerimento Finalizada,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853691
2236290,REQ,REQ 10/2020,"Requer a realização de Sessão Solene em homenagem ao dia do  Policial e Bombeiro  Militar, do Amazonas, demais estados da União e do Distrito Federal. NA",2020-02-03T15:56:00Z,CD,Capitão Alberto Neto,,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853695
2236291,PL,PL 13/2020,"Altera a Lei nº 13.969, de 26 de dezembro de 2019, para ampliar o crédito financeiro concedido no caso de investimentos em atividades de pesquisa, desenvolvimento e inovação relativos a bens classificados nas posições 8471.30.1, 8471.4, 8471.50.10 e 8473.30 da Tabela de Incidência do Imposto sobre Produtos Industrializados (Tipi), independentemente de serem decorrentes de tecnologias desenvolvidas no País. ",2020-02-03T15:57:00Z,CD,Capitão Alberto Neto,,Aguardando Designação de Relator,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853697
2236292,INC,INC 1/2020,"Sugere o incentivo a ações de prevenção e detecção precoce do câncer de colo uterino, bem como o incentivo ao aumento do número de unidades de referência. ",2020-02-03T15:58:00Z,CD,Capitão Alberto Neto,,Aguardando Resposta ,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853699
2236293,PL,PL 14/2020,"Altera a Lei nº 11.977, de 7 de julho de 2009, para incluir, entre os mecanismos do Programa Minha Casa, Minha Vida - PMCMV, o arrendamento social. ",2020-02-03T16:00:00Z,CD,Capitão Alberto Neto,,Tramitando em Conjunto,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853701
2236295,PLP,PLP 1/2020,Altera a Lei de Responsabilidade Fiscal para excluir do mecanismo de limitação de empenho as despesas que especifica. Altera a Lei Complentar nº 101 de 2000.,2020-02-03T16:02:00Z,CD,Capitão Alberto Neto,,Aguardando Designação de Relator,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853705
2236296,RIC,RIC 14/2020,"Requer do Excelentíssimo Ministro da Infraestrutura, Senhor Tarcísio Gomes de Freitas, informações sobre alteração da Resolução nº 472/2018. ",2020-02-03T16:03:00Z,CD,Capitão Alberto Neto,,Aguardando Remessa ao Arquivo,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853735
2236297,REQ,REQ 11/2020,"Requer Voto de Louvor aos integrantes da Equipe ROCAM que, na ocorrência de 17/01/2020, arriscaram suas vidas e apreenderam armas de fogo em intervenção policial na zona sul de Manaus. NA",2020-02-03T16:03:00Z,CD,Capitão Alberto Neto,,Arquivada,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853742
2236298,REQ,REQ 12/2020,"Requer o registro nos anais da Câmara dos Deputados de VOTO DE PESAR pelo falecimento do Professor universitário, jornalista e escritor Luiz Eugênio Negreiros Nogueira. NA",2020-02-03T16:04:00Z,CD,Capitão Alberto Neto,,Arquivada,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853744
