idProposicao,uri,dataApresentacao,siglaTipo,codTipo,numero,ano,nomeProposicao,indTramitando
141319,http://legis.senado.gov.br/dadosabertos/materia/141319,2020-03-31,PL,,01192,2020,PL 1192/2020,Sim
140430,http://legis.senado.gov.br/dadosabertos/materia/140430,2020-02-03,PLN,,00001,2020,PLN 1/2020,Sim
140867,http://legis.senado.gov.br/dadosabertos/materia/140867,2020-03-03,PLN,,00002,2020,PLN 2/2020,Sim
140868,http://legis.senado.gov.br/dadosabertos/materia/140868,2020-03-03,PLN,,00003,2020,PLN 3/2020,Sim
140869,http://legis.senado.gov.br/dadosabertos/materia/140869,2020-03-03,PLN,,00004,2020,PLN 4/2020,Sim
141231,http://legis.senado.gov.br/dadosabertos/materia/141231,2020-03-26,PLN,,00005,2020,PLN 5/2020,Sim
141232,http://legis.senado.gov.br/dadosabertos/materia/141232,2020-03-26,PLN,,00006,2020,PLN 6/2020,Sim
140516,http://legis.senado.gov.br/dadosabertos/materia/140516,2020-02-05,PLP,,00002,2020,PLP 2/2020,Sim
140532,http://legis.senado.gov.br/dadosabertos/materia/140532,2020-02-05,PLP,,00004,2020,PLP 4/2020,Sim
140626,http://legis.senado.gov.br/dadosabertos/materia/140626,2020-02-11,PLP,,00006,2020,PLP 6/2020,Sim
140793,http://legis.senado.gov.br/dadosabertos/materia/140793,2020-02-19,PLP,,00013,2020,PLP 13/2020,Sim
140930,http://legis.senado.gov.br/dadosabertos/materia/140930,2020-03-04,PLP,,00020,2020,PLP 20/2020,Sim
140960,http://legis.senado.gov.br/dadosabertos/materia/140960,2020-03-05,PLP,,00022,2020,PLP 22/2020,Sim
141143,http://legis.senado.gov.br/dadosabertos/materia/141143,2020-03-20,PLP,,00033,2020,PLP 33/2020,Sim
141166,http://legis.senado.gov.br/dadosabertos/materia/141166,2020-03-24,PLP,,00037,2020,PLP 37/2020,Sim
141181,http://legis.senado.gov.br/dadosabertos/materia/141181,2020-03-24,PLP,,00038,2020,PLP 38/2020,Sim
